Ticker
MSFT
AAPL
NVDA
GOOGL
GOOG
AMZN
META
BRK.B
LLY
TSLA
AVGO
JPM
WMT
V
XOM
UNH
MA
ORCL
COST
PG
JNJ
HD
MRK
BAC
NFLX
ABBV
CVX
AMD
KO
ADBE
CRM
QCOM
PEP
TMUS
LIN
WFC
TMO
AMAT
CSCO
ACN
INTU
MCD
TXN
ABT
DIS
DHR
GE
VZ
AXP
AMGN
NOW
MS
IBM
CAT
PFE
PM
ISRG
GS
UBER
BX
CMCSA
NEE
MU
LRCX
SPGI
HON
UNP
INTC
T
RTX
BKNG
COP
SCHW
SYK
ETN
TJX
ELV
PGR
VRTX
C
LOW
BLK
UPS
KLAC
ANET
ADI
NKE
BA
BSX
REGN
LMT
PANW
PLD
MMC
CB
MDT
DE
ABNB
ADP
SNPS
CRWD
KKR
AMT
CI
MDLZ
FI
CDNS
CMG
SBUX
SO
WM
HCA
GILD
APH
ICE
BMY
ZTS
CL
MO
MCO
DUK
GD
MCK
TT
SHW
FCX
FDX
CTAS
EOG
EQIX
TDG
CVS
CME
NXPI
ITW
MAR
ECL
TGT
CEG
SLB
BDX
CSX
PH
MSI
NOC
AON
WELL
EMR
PYPL
PNC
RSG
USB
ORLY
ROP
MPC
PSX
AJG
CARR
APD
MMM
EW
OXY
HLT
ADSK
GM
PCAR
CPRT
COF
MNST
WMB
NEM
TFC
PSA
AFL
F
VLO
SMCI
MCHP
MET
AIG
DLR
NSC
ROST
GEV
SRE
AZO
OKE
SPG
STZ
FTNT
KMB
AEP
O
TRV
TEL
MRNA
HES
DXCM
JCI
BK
GWW
DHI
HUM
COR
KDP
KMI
CHTR
AMP
LHX
PAYX
URI
FIS
PRU
ALL
CCI
D
MPWR
RCL
IDXX
ODFL
MSCI
OTIS
VRSK
KHC
LEN
AME
FICO
EL
IQV
KR
HSY
PWR
PEG
NUE
A
IR
ACGL
PCG
EA
DOW
CTVA
CMI
YUM
FANG
FAST
LULU
CNC
GEHC
GIS
IT
KVUE
NDAQ
SYY
EXC
BKR
HPQ
CTSH
MLM
DD
GLW
BIIB
EXR
XYL
DFS
VMC
HWM
ON
LVS
GRMN
VST
ED
LYB
ADM
ROK
EFX
CSGP
DVN
DAL
TRGP
PPG
HAL
XEL
HIG
CDW
VICI
ANSS
AVB
MTD
RMD
TSCO
DG
EIX
WAB
IRM
CBRE
WTW
HPE
NTAP
TTWO
EBAY
CHD
BRO
EQR
TROW
FTV
AWK
WDC
RJF
FITB
WEC
GPN
MTB
ROL
IFF
DOV
KEYS
DECK
BR
FSLR
TER
VLTO
WST
CAH
NVR
DLTR
DTE
AXON
ETR
PTC
ZBH
STT
FE
INVH
LYV
PHM
TYL
STE
CCL
STX
VTR
SBAC
ARE
GDDY
PPL
BF.B
ES
WRB
WY
HUBB
LDOS
TSN
STLD
CTRA
CNP
K
APTV
MKC
CPAY
SYF
AEE
ULTA
HBAN
BALL
GPC
PFG
ALGN
CINF
TDY
RF
BAX
BBY
CBOE
WBD
VRSN
CMS
ESS
EXPD
OMC
AVY
DRI
ATO
HOLX
LH
DPZ
MOH
J
COO
NTRS
WAT
SWKS
HRL
CLX
JBHT
L
MAA
TXT
BLDR
FDS
LUV
NRG
EQT
CFG
ZBRA
PKG
MRO
EG
EXPE
DGX
FOXA
FOX
UAL
GEN
BG
NWS
NWSA
IP
IEX
CE
MAS
DOC
PODD
AKAM
AMCR
TRMB
MGM
CAG
CPB
SNA
UDR
WRK
LNT
ENPH
KEY
JBL
KIM
NDSN
INCY
CF
NI
RVTY
AES
PNR
HST
VTRS
SWK
EVRG
DVA
JNPR
LW
JKHY
AOS
SJM
BEN
ALB
POOL
CPT
REG
QRVO
TECH
KMX
EMN
LKQ
UHS
IPG
EPAM
APA
TAP
RL
CRL
CTLT
CHRW
TFX
FFIV
ALLE
WYNN
WBA
HII
BXP
TPR
MOS
SOLV
PNW
GNRC
AIZ
FRT
HSIC
BBWI
PAYC
PARA
CZR
DAY
BIO
HAS
MTCH
MKTX
GL
NCLH
AAL
BWA
MHK
FMC
ETSY
IVZ
