Ticker,Report Date,Fiscal Year,Fiscal Period,Adj. Open,Adj. Close,PeriodReturn,Altman Z-Score,Piotroski F-Score,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Debt Ratio,Earnings Per Share (Diluted),Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Return On Invested Capital,Cash Return On Invested Capital,Dividend Payout Ratio,Net Debt / EBITDA,Net Debt / EBIT
A,2018-01-31,2018,Q1,73.77,69.97,-0.1026,1.93,6,0.55326,0.1891,-0.26424,-0.0707,-0.03679,-0.48474,3.23071,0.24661,-0.99071,3.74923,14,0.48023,-0.03626,0.02068,-0.15,-2.43481,-3.24017
A,2018-04-30,2018,Q2,66.49,62.79,0.007,2.11,7,0.53317,0.17413,0.16998,0.0444,0.02334,1.24154,3.31502,0.24078,0.62883,3.74534,14.32609,0.79042,0.03347,0.03367,0.23415,-3.03137,-4.26667
A,2018-07-31,2018,Q3,64.93,63.23,-0.0169,2.34,8,0.54946,0.18703,0.19618,0.05166,0.02827,0.69574,3.61637,0.21547,0.7284,3.75938,14.2625,0.51311,0.0396,0.02289,0.20339,-1.06137,-1.47556
A,2018-10-31,2018,Q4,64.35,62.16,0.1768,2.27,6,0.5425,0.19212,0.1507,0.04266,0.02283,1.72634,3.28608,0.21063,0.59633,4.05643,14.31661,1.05528,0.03376,0.04696,0.24103,-1.47074,-1.80203
A,2019-01-31,2019,Q1,75.21,73.15,0.0342,2.5,6,0.55062,0.1947,0.39252,0.10008,0.0563,0.34498,3.38995,0.20085,1.56522,4.03774,15.83648,0.54676,0.07257,0.02269,0.10317,-0.80831,-1.036
A,2019-04-30,2019,Q2,77.44,75.65,-0.1138,2.37,7,0.54039,0.17447,0.14701,0.03551,0.02017,1.16743,3.40966,0.19929,0.56698,3.90536,16.16719,0.67026,0.03024,0.02745,0.28571,-1.23931,-1.65278
A,2019-07-31,2019,Q3,70.19,67.04,0.0937,2.31,6,0.54317,0.17661,0.14992,0.04024,0.02214,1.01728,2.13132,0.20846,0.60443,4.08333,15.21474,0.62276,0.03307,0.02655,0.26702,0.11198,0.14667
A,2019-10-31,2019,Q4,76,73.32,0.0922,2,5,0.53914,0.18288,0.14192,0.04086,0.02052,1.4655,1.53317,0.25466,0.61981,4.42395,15.3657,0.92009,0.03067,0.03559,0.26289,3.14417,4.1
A,2020-01-31,2020,Q1,84.03,80.08,-0.0692,2.01,4,0.53279,0.15844,0.14517,0.04064,0.02073,-0.47285,1.63953,0.25913,0.62939,4.37742,15.63871,-0.30049,0.03152,-0.0116,0.28426,3.8919,5.74884
A,2020-04-30,2020,Q2,77.96,74.54,0.2592,1.8,5,0.53069,0.08239,0.08158,0.02118,0.01068,2.77461,1.63033,0.26314,0.32372,4.00647,15.43042,0.90691,0.01956,0.03513,0.54455,5.35106,11.41176
A,2020-07-31,2020,Q3,95.94,93.86,0.3941,2.05,5,0.53053,0.18239,0.15781,0.03995,0.02085,1.33228,2.46956,0.24335,0.63782,4.08091,16.11974,0.85801,0.03183,0.03309,0.28141,3.14332,4.19565
A,2021-04-30,2021,Q2,133.9,130.85,0.0465,1.83,8,0.53574,0.18885,0.14164,0.04491,0.02077,2.04069,1.99886,0.28198,0.70588,4.98366,15.71895,1.44049,0.03109,0.04983,0.27315,4.25205,5.38889
A,2022-01-31,2022,Q1,137.32,136.94,-0.002,2.11,6,0.54361,0.22461,0.16906,0.05491,0.0274,0.616,2.19318,0.26436,0.93399,5.56146,17.12292,0.57916,0.03957,0.01994,0.22261,3.72622,4.18085
A,2022-10-31,2022,Q4,137.69,136.67,0.1009,2.31,6,0.54732,0.25473,0.19903,0.06937,0.03494,1.02947,2.03009,0.26291,1.24097,6.23677,17.89402,1.27786,0.04939,0.04351,0.16848,3.15441,3.64331
A,2023-01-31,2023,Q1,151.61,150.46,-0.1965,2.21,6,0.55125,0.2426,0.20046,0.06276,0.03224,0.62358,2.1064,0.27209,1.18121,5.93243,18.94932,0.74155,0.04544,0.0238,0.19034,3.49087,4.03991
